,Year,Rk,Team,W,L,MOV,ORtg,DRtg,NRtg,FTr,3PAr,TS%,eFG%,TOV%,ORB%,DRB%,FT/FGA,Won Championship,Rounds Played
40,1995,13.0,Denver Nuggets,41.0,41.0,0.84,109.1,108.2,0.9,0.357,0.18,0.556,0.511,15.6,32.0,70.2,0.263,0,1
41,1995,14.0,Cleveland Cavaliers,43.0,39.0,0.62,105.3,104.6,0.7,0.317,0.165,0.52,0.472,14.2,31.8,72.4,0.241,0,1
42,1995,15.0,Los Angeles Lakers,48.0,34.0,-0.22,109.1,109.4,-0.3,0.292,0.21,0.539,0.5,13.4,31.3,64.4,0.215,0,2
43,1995,16.0,Sacramento Kings,39.0,43.0,-1.0,105.5,106.5,-1.0,0.359,0.16,0.538,0.496,16.2,32.1,67.0,0.255,0,0
44,1995,17.0,Miami Heat,32.0,50.0,-1.63,108.2,109.9,-1.7,0.317,0.175,0.54,0.499,14.4,31.7,68.7,0.233,0,0
45,1995,18.0,Boston Celtics,35.0,47.0,-1.88,108.6,110.6,-2.0,0.331,0.144,0.537,0.491,14.3,33.1,68.6,0.249,0,1
46,1995,19.0,Dallas Mavericks,36.0,46.0,-2.9,107.6,110.6,-3.0,0.301,0.163,0.509,0.466,13.9,38.9,69.8,0.221,0,0
47,1995,20.0,New Jersey Nets,30.0,52.0,-3.13,105.2,108.6,-3.4,0.342,0.192,0.519,0.467,14.4,33.3,70.9,0.26,0,0
48,1995,21.0,Milwaukee Bucks,34.0,48.0,-4.37,106.2,110.9,-4.7,0.343,0.205,0.537,0.496,15.5,31.3,68.3,0.244,0,0
49,1995,22.0,Golden State Warriors,26.0,56.0,-5.41,106.7,112.2,-5.5,0.348,0.233,0.547,0.508,15.9,30.3,66.5,0.245,0,0
50,1995,23.0,Philadelphia 76ers,24.0,58.0,-5.07,104.1,109.7,-5.6,0.323,0.142,0.521,0.475,15.3,32.3,66.1,0.238,0,0
51,1995,24.0,Washington Bullets,21.0,61.0,-5.6,105.4,111.3,-5.9,0.292,0.183,0.529,0.492,14.3,29.3,66.7,0.211,0,0
52,1995,25.0,Detroit Pistons,28.0,54.0,-7.29,105.1,112.9,-7.8,0.293,0.21,0.538,0.499,15.0,28.3,65.8,0.217,0,0
53,1995,26.0,Los Angeles Clippers,17.0,65.0,-9.16,101.5,111.1,-9.6,0.302,0.153,0.508,0.468,14.6,29.6,65.7,0.214,0,0
54,1995,27.0,Minnesota Timberwolves,21.0,61.0,-9.0,102.6,112.4,-9.8,0.379,0.163,0.532,0.475,16.2,27.7,64.1,0.293,0,0
56,1996,1.0,Chicago Bulls,72.0,10.0,12.24,115.2,101.8,13.4,0.291,0.196,0.555,0.517,13.1,36.9,71.1,0.217,1,4
57,1996,2.0,Seattle SuperSonics,64.0,18.0,7.79,110.3,102.1,8.2,0.379,0.249,0.574,0.526,16.2,29.7,69.5,0.288,0,4
58,1996,3.0,Utah Jazz,55.0,27.0,6.59,113.3,106.1,7.2,0.359,0.158,0.566,0.517,14.1,31.6,71.7,0.276,0,3
59,1996,4.0,San Antonio Spurs,59.0,23.0,6.3,110.2,103.5,6.7,0.342,0.2,0.558,0.516,13.6,27.5,70.0,0.252,0,2
60,1996,5.0,Orlando Magic,60.0,22.0,5.56,112.9,106.9,6.0,0.336,0.248,0.562,0.529,13.2,29.0,68.8,0.232,0,3
61,1996,6.0,Los Angeles Lakers,53.0,29.0,4.45,111.4,106.6,4.8,0.306,0.203,0.555,0.515,13.3,30.1,66.8,0.228,0,1
